query_id,query,query_category,retriever,latency,rank,retrieval_score,score_type,filename,page,chunk_id,document_category,chunk_length,chunk_text
Q001,"What is the purpose of an Ask Me Anything (AMA) session at GitLab, and who can initiate one?",single_hop,HybridRRFRetriever,0.36681032180786133,1,0.01639344262295082,hybrid_rrf,..\data\corpus\company\amas.md,,581,company,392,"---
title: AMAs
description: What you need to know about Ask Me Anything (AMA)
---

An AMA (Ask Me Anything) is a session for team members to ask a specific individual or group of individuals questions either generally or on a specific topic.

Examples include a specific executive member, a particular project, quarterly report follow-up, and regarding a significant policy change at GitLab."
Q001,"What is the purpose of an Ask Me Anything (AMA) session at GitLab, and who can initiate one?",single_hop,HybridRRFRetriever,0.36681032180786133,2,0.016129032258064516,hybrid_rrf,..\data\corpus\communication\ask-me-anything.md,,434,communication,647,"## Purpose

Ask Me Anything (AMA) meetings are arranged to allow team members the opportunity to learn from and ask questions of our [E-Group](/handbook/company/structure/#e-group), [Board of Directors](/handbook/board-meetings/#board-of-directors), and others groups who would like to host an AMA on a specific topic. AMAs can be arranged for many purposes, including the following:

- Allow team members to meet new leaders joining the company
- Clarify a company-wide initiative or change that requires more discussion
- Allow team members to learn more about current leaders
- Spark insightful discussions
- Initiate a retrospective discussion"
Q001,"What is the purpose of an Ask Me Anything (AMA) session at GitLab, and who can initiate one?",single_hop,HybridRRFRetriever,0.36681032180786133,3,0.015873015873015872,hybrid_rrf,..\data\corpus\communication\ask-me-anything.md,,433,communication,112,"---
title: Ask Me Anything
description: ""Learn and ask questions at GitLab's Ask Me Anything (AMA) meetings""
---"
Q001,"What is the purpose of an Ask Me Anything (AMA) session at GitLab, and who can initiate one?",single_hop,HybridRRFRetriever,0.36681032180786133,4,0.015625,hybrid_rrf,..\data\corpus\company\still-a-startup.md,,3417,company,639,"For example, every person who joins GitLab has to schedule at least 5 [coffee chats](/handbook/company/culture/all-remote/informal-communication/#coffee-chats) during their onboarding. We also have social calls, [Ask Me Anything](/handbook/company/culture/all-remote/informal-communication/#ama-ask-me-anything) meetings with senior leaders, and 15 other explicit ways to encourage employee connections and relationship building. Intentionally organizing informal communication enables the trust-building conversations that are essential for collaboration. This can be more effective than relying on chance encounters in an office building"
Q001,"What is the purpose of an Ask Me Anything (AMA) session at GitLab, and who can initiate one?",single_hop,HybridRRFRetriever,0.36681032180786133,5,0.015384615384615385,hybrid_rrf,..\data\corpus\communication\_index.md,,216,communication,498,"1. Optional AMA.
   If desired and appropriate, offer a company wide Zoom call to host an AMA (Ask Me Anything). Oftentimes, questions can be managed within the Discussion tab of a GitLab Issue or Merge Request. For broad announcements, such as registration opening for GitLab Contribute, an AMA may be better suited for a large volume of inquiries. To schedule a company wide call, please make a request in the `#people-connect` Slack channel, and include a Google Doc in the invite for questions."
Q002,What are the responsibilities of the host and moderator during a GitLab AMA?,multi_hop,HybridRRFRetriever,0.23743176460266113,1,0.01639344262295082,hybrid_rrf,..\data\corpus\company\amas.md,,590,company,557,"### Moderator

The Moderator of a Zoom call is the person that has Zoom's *Host* level permission. Host level permission in Zoom permits streaming a call to YouTube, starting or ending a recording and giving co-hosting permissions to others.

The Moderator of a Zoom call is the person who is in charge of starting the call i.e. initiating the streaming to YouTube; updating the stream from public to private if a sensitive topic is mentioned, and keeping the meeting running efficiently and on time so that it does not go over the Quick Meeting time frame."
Q002,What are the responsibilities of the host and moderator during a GitLab AMA?,multi_hop,HybridRRFRetriever,0.23743176460266113,2,0.016129032258064516,hybrid_rrf,..\data\corpus\company\amas.md,,586,company,621,"1. To request an AMA be put on the GitLab team meetings calendar, the requestor should find a date and time on the GitLab Team Meetings calendar that works for the AMA host.
1. The requestor will slack [the EBA](/handbook/eba/) for their department in the `#eba-team` Slack Channel and provide the following information:
    - Title of AMA
    - Public or Private Livestream
    - Date & Time (YYYY-MM-DD PST)
    - Host
    - Moderator
    - Agenda Link
    - Attendees (specify if calendar invitations go to specific teams or to gitlab-team-members@gitlab.com)
    - Confirm if this call is ""open to friends and family"""
Q002,What are the responsibilities of the host and moderator during a GitLab AMA?,multi_hop,HybridRRFRetriever,0.23743176460266113,3,0.015873015873015872,hybrid_rrf,..\data\corpus\company\amas.md,,589,company,265,"The ""Host"" term can be confusing as Zoom has a specific definition for Host pertaining mainly to a permission level, which in practice GitLab does not assign to the term. *More information on Zoom's definition of ""host"" is explained in the Moderator section below*."
Q002,What are the responsibilities of the host and moderator during a GitLab AMA?,multi_hop,HybridRRFRetriever,0.23743176460266113,4,0.015625,hybrid_rrf,..\data\corpus\communication\_index.md,,216,communication,498,"1. Optional AMA.
   If desired and appropriate, offer a company wide Zoom call to host an AMA (Ask Me Anything). Oftentimes, questions can be managed within the Discussion tab of a GitLab Issue or Merge Request. For broad announcements, such as registration opening for GitLab Contribute, an AMA may be better suited for a large volume of inquiries. To schedule a company wide call, please make a request in the `#people-connect` Slack channel, and include a Google Doc in the invite for questions."
Q002,What are the responsibilities of the host and moderator during a GitLab AMA?,multi_hop,HybridRRFRetriever,0.23743176460266113,5,0.015384615384615385,hybrid_rrf,..\data\corpus\communication\ask-me-anything.md,,448,communication,388,"#### Scheduling a Reverse AMA

AMAs are generally coordinated, scheduled, and planned by the [Executive Business Administrator](/handbook/eba/) team when an E-Group member is the host. Anytime that an AMA is to be hosted by an executive, VP, or Director at GitLab, it should be arranged and scheduled by that functions EBA. AMAs of Board Members are scheduled by the Staff EBA to the CEO."
